box_size_px,search_radius_px,frame,time_s,point_id,x,y,dx,dy,cumulative_dx,cumulative_dy,d_parallel_px,d_perpendicular_px,zncc,forward_backward_error,valid,fallback_used,strain_back_front_percent,strain_back_center_percent,strain_center_front_percent,dx_mm,dy_mm,cumulative_dx_mm,cumulative_dy_mm,d_parallel_mm,d_perpendicular_mm
21,8,0,0.0,back,367.8440012865431,223.525878012163,0.0,0.0,0.0,0.0,0.0,0.0,,,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,8,0,0.0,center,343.4847496867603,229.14965445673124,0.0,0.0,0.0,0.0,0.0,0.0,,,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,8,0,0.0,front,319.12549808697753,234.7734309012995,0.0,0.0,0.0,0.0,0.0,0.0,,,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,8,1,0.09090909090909091,back,368.0,224.0,0.15599871345688143,0.4741219878370089,0.15599871345688143,0.4741219878370089,-0.04534623373155801,-0.4970623472333042,0.9812337756156921,0.4991264949396285,True,False,2.3859296703510156,5.833507810750796,-1.0616484700487647,0.00988641846532986,0.030047480979170437,0.00988641846532986,0.030047480979170437,-0.002873817562737489,-0.03150132625591066
21,8,1,0.09090909090909091,center,342.0,229.0,-1.484749686760324,-0.14965445673124123,-1.484749686760324,-0.14965445673124123,1.413030718956143,0.479814835161116,0.9870226979255676,0.5073250587480922,True,False,2.3859296703510156,5.833507810750796,-1.0616484700487647,-0.09409601139843554,-0.009484351195342413,-0.09409601139843554,-0.009484351195342413,0.08955082181384556,0.03040826517833573
21,8,1,0.09090909090909091,front,318.0,235.0,-1.1254980869775295,0.22656909870050868,-1.1254980869775295,0.22656909870050868,1.1476186014439524,0.03241983799876591,0.9631631970405579,0.25900449092820843,True,False,2.3859296703510156,5.833507810750796,-1.0616484700487647,-0.07132844126220093,0.014358816630144737,-0.07132844126220093,0.014358816630144737,0.07273032886651049,0.0020546072331717896
21,8,2,0.18181818181818182,back,369.0,225.0,1.0,1.0,1.1559987134568814,1.4741219878370089,-0.794765239940139,-1.696383469007345,0.9273985624313354,1.0,True,False,0.4371895423684004,1.0362233236546377,-0.161844238917851,0.063375,0.063375,0.07326141846532987,0.09342248097917044,-0.05036824708120631,-0.10750830234834048
21,8,2,0.18181818181818182,center,344.0,229.0,2.0,0.0,0.515250313239676,-0.14965445673124123,-0.5357094090264785,0.029912719595656376,0.956751823425293,0.0,True,False,0.4371895423684004,1.0362233236546377,-0.161844238917851,0.12675,0.0,0.03265398860156447,-0.009484351195342413,-0.033950583797053076,0.0018957186043747228
21,8,2,0.18181818181818182,front,320.0,236.0,2.0,1.0,0.8745019130224705,1.2265690987005087,-0.5761704687559392,-1.3918523415580046,0.901393473148346,0.0,True,False,0.4371895423684004,1.0362233236546377,-0.161844238917851,0.12675,0.063375,0.05542155873779907,0.07773381663014474,-0.03651480345740765,-0.08820864214623854
21,8,3,0.2727272727272727,back,372.0,228.0,3.0,3.0,4.155998713456881,4.474121987837009,-3.043022258565882,-5.294346834329467,0.7855958342552185,9.219544457292887,False,True,0.4371895423684004,1.0362233236546377,-0.161844238917851,0.190125,0.190125,0.26338641846532984,0.28354748097917043,-0.19285153563661278,-0.33552923062562995
