variant,note,recomputed_vs_saved_python_raw_rmse_deg,raw_changed_fraction_vs_baseline,mean_original_peaks,mean_shaped_peaks,mean_weight_mass_retained,nearest_peak_rmse_deg,candidate_hit_rate_1deg,candidate_hit_rate_2deg,candidate_present_but_raw_wrong_rate,orig_good_candidate_drop_rate,orig_good_candidate_keep_rate,raw_vs_matlab_bias,raw_vs_matlab_mae,raw_vs_matlab_rmse
baseline_current,current peaks and weights,0.0,0.0,10.0,10.0,1.0,0.7224562171830461,0.9448612153038259,0.9722430607651913,0.05438859714928732,0.0,1.0,1.1877344336084021,1.5572018004501125,2.8086479622487333
sqrt_weights,"same peaks, square-root softened weights",0.06778568229855897,0.00450112528132033,10.0,10.0,0.05985710733340435,0.7224562171830461,0.9448612153038259,0.9722430607651913,0.05438859714928732,0.0,1.0,1.189047261815454,1.558139534883721,2.8090652737036894
dedup_gap1_sum,collapse near-duplicate peaks within 1 deg,0.5458151095151755,0.8420855213803451,10.0,4.990997749437359,1.0,1.0946403223098737,0.7445611402850713,0.9531132783195799,0.05588897224306077,0.019129782445611403,0.9803240740740741,1.335875393436927,1.6813428087266244,2.942137763605599
dedup_gap2_sum,collapse near-duplicate peaks within 2 deg,0.8403670714110372,0.9831207801950488,10.0,3.250562640660165,1.0,1.5317355880665147,0.5045011252813203,0.8420855213803451,0.05476369092273068,0.1301575393848462,0.8661265432098766,1.6013750155724995,1.873093696509213,3.1198356327822427
top_peak_family_5deg,keep only the top-peak angle family within +/-5 deg,3.8149845709804913,0.48124531132783194,10.0,7.132033008252063,0.7205479520964059,3.6896303463928817,0.8593398349587397,0.8777194298574643,0.0033758439609902473,0.09452363090772693,0.9027777777777778,0.8799699924981246,2.374343585896474,4.437593442271354
dominant_window_8deg,keep only the dominant weighted 8 deg angle window,1.361752489426994,0.47749437359339836,10.0,7.4928732183045765,0.7558286803535085,2.298336754690115,0.8960990247561891,0.9141035258814704,0.0033758439609902473,0.05813953488372093,0.9402006172839507,1.717179294823706,1.9126031507876968,3.2685789576053574
dedup1_plus_dominant8,"collapse 1 deg duplicates, then keep the dominant 8 deg family",1.4541165872288329,0.9444861215303826,10.0,2.428357089272318,0.727093167456999,2.622732764325305,0.6897974493623406,0.8859714928732183,0.006376594148537134,0.08627156789197299,0.9112654320987654,1.671535505617205,1.9044205995901324,3.2875560931643735
